#   H  PAMELA(2009/12-2010/01) - Ref: Adriani et al., ApJ 765, 91 (2013)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.631000e+01 7.700000e-01 8.100000e-01 1.668187e+03 4.615379e+01 4.615379e+01 2.257412e+02 2.257412e+02 2.304111e+02 2.304111e+02
1.796900e+01 8.490000e-01 8.910000e-01 1.530152e+03 4.520389e+01 4.520389e+01 2.070661e+02 2.070661e+02 2.119428e+02 2.119428e+02
1.978700e+01 9.270000e-01 9.730000e-01 1.504241e+03 4.623915e+01 4.623915e+01 2.035932e+02 2.035932e+02 2.087780e+02 2.087780e+02
2.177900e+01 1.019000e+00 1.071000e+00 1.364158e+03 4.595259e+01 4.595259e+01 1.846072e+02 1.846072e+02 1.902405e+02 1.902405e+02
2.397200e+01 1.122000e+00 1.178000e+00 1.240684e+03 4.602426e+01 4.602426e+01 1.679147e+02 1.679147e+02 1.741080e+02 1.741080e+02
2.637500e+01 1.225000e+00 1.285000e+00 1.276501e+03 4.907745e+01 4.907745e+01 1.727971e+02 1.727971e+02 1.796314e+02 1.796314e+02
2.900700e+01 1.347000e+00 1.413000e+00 1.180493e+03 4.949992e+01 4.949992e+01 1.596989e+02 1.596989e+02 1.671944e+02 1.671944e+02
3.189400e+01 1.474000e+00 1.546000e+00 1.113864e+03 5.050533e+01 5.050533e+01 1.507531e+02 1.507531e+02 1.589883e+02 1.589883e+02
3.505600e+01 1.616000e+00 1.694000e+00 9.364394e+02 4.860391e+01 4.860391e+01 1.267020e+02 1.267020e+02 1.357046e+02 1.357046e+02
3.852700e+01 1.777000e+00 1.863000e+00 9.130113e+02 5.040784e+01 5.040784e+01 1.235408e+02 1.235408e+02 1.334289e+02 1.334289e+02
4.233300e+01 1.943000e+00 2.037000e+00 8.490889e+02 5.102060e+01 5.102060e+01 1.149084e+02 1.149084e+02 1.257261e+02 1.257261e+02
4.650300e+01 2.133000e+00 2.237000e+00 7.999194e+02 5.198719e+01 5.198719e+01 1.082562e+02 1.082562e+02 1.200919e+02 1.200919e+02
